TRANSACTIONID|FLIGHTDATE|AIRLINECODE|AIRLINENAME|TAILNUM|FLIGHTNUM|ORIGINAIRPORTCODE|ORIGAIRPORTNAME|ORIGINCITYNAME|ORIGINSTATE|ORIGINSTATENAME|DESTAIRPORTCODE|DESTAIRPORTNAME|DESTCITYNAME|DESTSTATE|DESTSTATENAME|CRSDEPTIME|DEPTIME|DEPDELAY|TAXIOUT|WHEELSOFF|WHEELSON|TAXIIN|CRSARRTIME|ARRTIME|ARRDELAY|CRSELAPSEDTIME|ACTUALELAPSEDTIME|CANCELLED|DIVERTED|DISTANCE
54568500|20020111|WN|Southwest Airlines Co.: WN|N313@@|1609|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|715|715|0|5|720|812|3|830|815|-15|75|60|0|0|328 miles
55405400|20020111|HP|America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/07.)|N168A|767|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|1215|1211|-4|8|1219|1311|5|1342|1316|-26|87|65|F|False|328 miles
54511100|20020111|WN|Southwest Airlines Co.: WN|N644@@|1118|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|1055|1055|0|10|1105|1201|4|1210|1205|-5|75|70|0|0|328 miles
54396400|20020116|WN|Southwest Airlines Co.: WN|N361@@|301|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|LAS|Las VegasNV: McCarran International|Las Vegas|NV|Nevada|635|635|0|10|645|702|3|705|705|0|90|90|0|0|487 miles
54519900|20020116|WN|Southwest Airlines Co.: WN|N634@@|1190|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|2125|2125|0|7|2132|2235|5|2240|2240|0|75|75|0|0|328 miles
54865900|20020117|UA|United Air Lines Inc.: UA|N9361|258|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|DEN|DenverCO: Denver International|Denver|CO|Colorado|1400|1358|-2|9|1407|1457|4|1515|1501|-14|75|63|False|F|349 miles
54657800|20020117|WN|Southwest Airlines Co.: WN|N382@@|2546|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|MCI|Kansas CityMO: Kansas City International|Kansas City|MO|Missouri|1225|1225|0|6|1231|1449|7|1515|1456|-19|110|91|0|0|718 miles
54440600|20020117|WN|Southwest Airlines Co.: WN|N300@@|577|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|1120|1120|0|8|1128|1242|2|1240|1244|4|80|84|False|F|328 miles
54514200|20020117|WN|Southwest Airlines Co.: WN|N635@@|1143|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|TUS|TucsonAZ: Tucson International|Tucson|AZ|Arizona|1805|1819|14|6|1825|1925|3|1910|1928|18|65|69|0|0|321 miles
55923500|20020118|CO|Continental Air Lines Inc.: CO|N14384|1004|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|IAH|HoustonTX: George Bush Intercontinental/Houston|Houston|TX|Texas|1630|1628|-2|18|1646|1952|6|1925|1958|33|115|150|False|F|744 miles
55398400|20020118|HP|America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/07.)|N314A|654|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|914|914|0|10|924|1033|3|1046|1036|-10|92|82|False|F|328 miles
54472300|20020119|WN|Southwest Airlines Co.: WN|N96@@@|803|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|ELP|El PasoTX: El Paso International|El Paso|TX|Texas|1110|1110|0|7|1117|1155|3|1200|1158|-2|50|48|False|False|223 miles
54626200|20020120|WN|Southwest Airlines Co.: WN|N729@@|2128|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|MCO|OrlandoFL: Orlando International|Orlando|FL|Florida|1025|1025|0|8|1033|1522|4|1545|1526|-19|200|181|0|0|1552 miles
54424300|20020120|WN|Southwest Airlines Co.: WN|N382@@|478|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|755|755|0|8|803|903|5|915|908|-7|80|73|0|0|328 miles
55369400|20020120|HP|America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/07.)|N308A|209|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|2030|2021|-9|9|2030|2130|5|2150|2135|-15|80|74|False|F|328 miles
54968200|20020121|UA|United Air Lines Inc.: UA|N9491|1248|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|DEN|DenverCO: Denver International|Denver|CO|Colorado|1630|1628|-2|6|1634|1725|6|1743|1731|-12|73|63|False|F|349 miles
54442000|20020121|WN|Southwest Airlines Co.: WN|N760@@|591|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|MCO|OrlandoFL: Orlando International|Orlando|FL|Florida|1735|1745|10|8|1753|2239|3|2300|2242|-18|205|177|0|0|1552 miles
54742900|20020122|NW|Northwest Airlines Inc.: NW|N312|628|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|MSP|MinneapolisMN: Minneapolis-St Paul International|Minneapolis|MN|Minnesota|1415|1408|-7|10|1418|1718|3|1750|1721|-29|155|133|0|0|981 miles
54545700|20020122|WN|Southwest Airlines Co.: WN|N385@@|1401|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|1515|1515|0|11|1526|1624|3|1630|1627|-3|75|72|F|False|328 miles
54588700|20020122|WN|Southwest Airlines Co.: WN|N343@@|1779|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|1310|1310|0|6|1316|1415|5|1425|1420|-5|75|70|False|F|328 miles
54531100|20020122|WN|Southwest Airlines Co.: WN|N615@@|1297|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|PHX|PhoenixAZ: Phoenix Sky Harbor International|Phoenix|AZ|Arizona|1730|1730|0|10|1740|1841|4|1845|1845|0|75|75|False|F|328 miles
54951900|20020123|UA|United Air Lines Inc.: UA|N3891|1100|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|DEN|DenverCO: Denver International|Denver|CO|Colorado|900|856|-4|7|903|952|5|1014|957|-17|74|61|False|False|349 miles
54742300|20020123|NW|Northwest Airlines Inc.: NW|N307|624|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|MSP|MinneapolisMN: Minneapolis-St Paul International|Minneapolis|MN|Minnesota|835|830|-5|19|849|1144|5|1206|1149|-17|151|139|0|0|981 miles
54453200|20020123|WN|Southwest Airlines Co.: WN|N603@@|675|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|SEA|SeattleWA: Seattle/Tacoma International|Seattle|WA|Washington|1050|1050|0|7|1057|1313|3|1300|1316|16|190|206|False|False|1180 miles
54407400|20020124|WN|Southwest Airlines Co.: WN|N375@@|375|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|DAL|DallasTX: Dallas Love Field|Dallas|TX|Texas|2025|2025|0|9|2034|2253|4|2255|2257|2|90|92|F|False|580 miles
54636200|20020124|WN|Southwest Airlines Co.: WN|N375@@|2216|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|DAL|DallasTX: Dallas Love Field|Dallas|TX|Texas|1605|1619|14|5|1624|1843|3|1840|1846|6|95|87|F|False|580 miles
55759400|20020125|AA|American Airlines Inc.: AA|N4BA1|2682|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|STL|St. LouisMO: Lambert-St. Louis International|St. Louis|MO|Missouri|845|1116|151|9|1125|1425|14|1201|1439|158|136|143|0|0|934 miles
54955100|20020127|UA|United Air Lines Inc.: UA|N3731|1126|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|DEN|DenverCO: Denver International|Denver|CO|Colorado|1131|1126|-5|7|1133|1227|6|1246|1233|-13|75|67|F|False|349 miles
54532600|20020127|WN|Southwest Airlines Co.: WN|N607@@|1311|ABQ|AlbuquerqueNM: Albuquerque International Sunport|Albuquerque|NM|New Mexico|LAX|Los AngelesCA: Los Angeles International|Los Angeles|CA|California|1900|1900|0|6|1906|2002|4|2005|2006|1|125|126|False|F|677 miles
